Index,job_title,mean_sal_est,company,Location,State,col_state,Headquarters,Size,Founded,Industry
1483,Data Analyst,$150 ,"Enjoy
3.8","Palo Alto, CA",CA,102.9,"Rio de Janeiro, Brazil",501 to 1000 employees,1996,-1
1484,AI Insights Data Analyst,$150 ,"Moveworks
5.0","Mountain View, CA",CA,102.9,"Mountain View, CA",51 to 200 employees,2016,Enterprise Software & Network Solutions
1485,"Data Analyst (SQL, Hive)",$150 ,"Ursus
4.4","Menlo Park, CA",CA,102.9,"Reno, NV",1 to 50 employees,-1,IT Services
1486,"Data Analyst, Autonomy Operations",$150 ,"Nuro
4.4","Mountain View, CA",CA,102.9,"Mountain View, CA",201 to 500 employees,2016,Computer Hardware & Software
1487,Data Analyst I,$150 ,"TalentBurst, Inc.
3.9","Cupertino, CA",CA,102.9,"Natick, MA",501 to 1000 employees,2002,IT Services
1488,Data Analyst,$150 ,"Randstad
3.7","Sunnyvale, CA",CA,102.9,"Atlanta, GA",1001 to 5000 employees,-1,Staffing & Outsourcing
1489,Data Analyst,$150 ,"BayOne Solutions
4.1","Sunnyvale, CA",CA,102.9,"Pleasanton, CA",1001 to 5000 employees,-1,IT Services
1490,Data Analyst,$150 ,"Zipongo
4.0","San Jose, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2011,Health Care Services & Hospitals
1491,Data Analyst,$150 ,"Logic Planet
3.1","San Jose, CA",CA,102.9,"Princeton, NJ",201 to 500 employees,-1,IT Services
1492,Senior Data Analyst Studio Finance Engineering,$150 ,"Netflix
3.9","Los Gatos, CA",CA,102.9,"Los Gatos, CA",1001 to 5000 employees,1997,Internet
1493,Data Analyst with Data Mapping and API,$150 ,Xcutives.com Inc,"San Jose, CA",CA,102.9,-1,-1,-1,-1
1494,Data Analyst,$150 ,"Kaygen Inc.
3.9","San Jose, CA",CA,102.9,"Irvine, CA",1 to 50 employees,-1,Consulting
1495,Data Analyst,$150 ,"Iconma, L.L.C.
3.6","Sunnyvale, CA",CA,102.9,"Troy, MI",1001 to 5000 employees,2000,Staffing & Outsourcing
1496,Data Analyst,$150 ,"Diverse Lynx
3.9","San Jose, CA",CA,102.9,"Princeton, NJ",501 to 1000 employees,2002,IT Services
1915,DATA Analyst-Remote,$139 ,SGA Inc.,"San Francisco, CA",CA,102.9,"Bethesda, MD",1 to 50 employees,1996,Architectural & Engineering Services
1916,Data Analyst,$139 ,"Veem
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2014,Financial Transaction Processing
1917,Operations Data Analyst,$139 ,"Coinbase
4.0","San Francisco, CA",CA,102.9,"San Francisco, CA",501 to 1000 employees,2012,Internet
1918,Product Data Analyst,$139 ,"Trifacta
3.6","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2012,Computer Hardware & Software
1919,Data Scientist/Analyst - Wilbur Labs,$139 ,"Wilbur Labs
5.0","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,2016,Internet
1920,Data Analyst,$139 ,"Hinge Health
4.4","San Francisco, CA",CA,102.9,"San Francisco, CA",201 to 500 employees,2014,Health Care Services & Hospitals
1921,Marketing Data Analyst,$139 ,"User Testing
3.3","San Francisco, CA",CA,102.9,"San Francisco, CA",501 to 1000 employees,2007,Enterprise Software & Network Solutions
1922,Data Analyst,$139 ,Pair-Tek,"San Francisco, CA",CA,102.9,-1,-1,-1,-1
1923,Data and Reporting Analyst,$139 ,"Shorenstein Realty Services L.P.
3.8","San Francisco, CA",CA,102.9,"San Francisco, CA",201 to 500 employees,1924,Real Estate
1924,Business Data Analyst,$139 ,"PlushCare
3.5","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,-1,Health Care Services & Hospitals
1925,Research Data Analyst,$139 ,"UCSF Medical Center
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",10000+ employees,1907,Health Care Services & Hospitals
1926,Data Analyst,$139 ,"Motiv Power Systems
4.6","San Francisco, CA",CA,102.9,"Foster City, CA",51 to 200 employees,2009,Electrical & Electronic Manufacturing
1927,Data Analyst,$139 ,"Upstart
4.2","San Mateo, CA",CA,102.9,"San Mateo, CA",201 to 500 employees,2012,Lending
1928,Business Intelligence Data Modeler/Analyst,$139 ,"Credible
4.3","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2012,Lending
1929,Data Studio Analyst,$139 ,"Priceonomics
5.0","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,-1,Internet
1930,Data Analyst,$139 ,"Applicantz, Inc.","San Francisco, CA",CA,102.9,"Houston, TX",51 to 200 employees,-1,-1
1931,Product Data Analyst,$139 ,"BOLD
3.7","San Francisco, CA",CA,102.9,"Guaynabo, PR",201 to 500 employees,2004,Internet
1932,Data Analyst,$139 ,Parsoft LLC,"San Francisco, CA",CA,102.9,"Louisville, KY",Unknown,-1,-1
1933,Clinical Data Analyst,$139 ,"Flatiron Health
4.0","San Francisco, CA",CA,102.9,"New York, NY",501 to 1000 employees,2012,Enterprise Software & Network Solutions
1934,Data Analyst,$139 ,"thredUP
3.9","Oakland, CA",CA,102.9,"Oakland, CA",1001 to 5000 employees,2009,"Department, Clothing, & Shoe Stores"
1935,Data Analyst,$139 ,"Artech LLC
3.9","San Francisco, CA",CA,102.9,"Morristown, NJ",5001 to 10000 employees,1992,Staffing & Outsourcing
1936,Data Analyst,$139 ,"ICONMA
3.6","San Francisco, CA",CA,102.9,"Troy, MI",1001 to 5000 employees,2000,Staffing & Outsourcing
1937,Data Systems Analyst,$139 ,"UCSF Medical Center
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",10000+ employees,1907,Health Care Services & Hospitals
1938,Data Analyst,$139 ,"The Voleon Group
4.6","Berkeley, CA",CA,102.9,"Berkeley, CA",51 to 200 employees,2007,Investment Banking & Asset Management
1939,Senior Data Analyst,$139 ,"Redfin
3.4","San Francisco, CA",CA,102.9,"Seattle, WA",1001 to 5000 employees,2004,Real Estate
1940,Data Analyst (College & Foundation Reporting),$139 ,Albany Charter School Network,"Oakland, CA",CA,102.9,-1,-1,-1,-1
1941,Senior Data Analyst,$139 ,"Twitter
4.0","San Francisco, CA",CA,102.9,"San Francisco, CA",1001 to 5000 employees,2006,Internet
1942,Research Data Analyst,$139 ,"UC San Francisco
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",10000+ employees,1864,-1
1943,Data Analyst - Health,$126 ,"Impaq International, Llc
3.4","Oakland, CA",CA,102.9,"Columbia, MD",201 to 500 employees,2001,Consulting
1944,Operations Data Analyst,$126 ,"Turn/River Capital
5.0","San Francisco, CA",CA,102.9,"San Francisco, CA",1 to 50 employees,-1,Venture Capital & Private Equity
1945,Data Analyst,$126 ,"Diverse Lynx
3.9","San Francisco, CA",CA,102.9,"Princeton, NJ",501 to 1000 employees,2002,IT Services
1946,"Data Analyst, Data & Analytics (Advanced Analytics) Manager (Multiple Positions)",$126 ,"EY
3.8","San Francisco, CA",CA,102.9,"London, United Kingdom",10000+ employees,1989,Accounting
1947,Data Analyst,$126 ,"RGP
4.1","San Francisco, CA",CA,102.9,"Irvine, CA",1001 to 5000 employees,1996,Consulting
1948,Business Data Analyst - Senior/Director - Work from Remote,$126 ,"Vinsari LLC
2.5","San Francisco, CA",CA,102.9,"Irving, TX",51 to 200 employees,-1,-1
1949,Market Data Services Analyst,$126 ,"Evolver, Inc.
3.2","San Francisco, CA",CA,102.9,"Reston, VA",201 to 500 employees,2000,IT Services
1950,"Financial Data Analyst, FP&A and Accounting",$126 ,"Lyft
3.7","San Francisco, CA",CA,102.9,"San Francisco, CA",5001 to 10000 employees,2012,Computer Hardware & Software
1951,Loan Data Analyst,$126 ,"First Republic Bank
3.7","San Francisco, CA",CA,102.9,"San Francisco, CA",1001 to 5000 employees,1985,Banks & Credit Unions
1952,Data and Policy Analyst IV,$126 ,"Acumen
3.2","Burlingame, CA",CA,102.9,"Burlingame, CA",201 to 500 employees,1996,Federal Agencies
1953,DATA Analyst-Remote,$126 ,"Software Guidance & Assistance
3.7","San Francisco, CA",CA,102.9,"Tarrytown, NY",51 to 200 employees,1981,Staffing & Outsourcing
1954,Business Data Analyst,$126 ,"Scale AI
3.2","San Francisco, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2016,Enterprise Software & Network Solutions
1955,"Data Analyst, Growth",$126 ,"Omada Health
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",201 to 500 employees,2011,Health Care Services & Hospitals
1956,Data Analyst,$126 ,"QuinStreet
3.2","San Mateo, CA",CA,102.9,"Foster City, CA",501 to 1000 employees,1999,Advertising & Marketing
1957,Data Analyst,$126 ,"Softova Inc
5.0","San Mateo, CA",CA,102.9,"Piscataway, NJ",1 to 50 employees,-1,IT Services
1958,Data Analyst,$126 ,"LeadStack
4.1","Foster City, CA",CA,102.9,"San Francisco, CA",51 to 200 employees,2016,IT Services
1959,"Senior Data Analyst, Member Services",$126 ,"Chime
4.8","San Francisco, CA",CA,102.9,"San Francisco, CA",201 to 500 employees,2013,Banks & Credit Unions
1960,Data Analyst,$126 ,"Marin City Health and Wellness Center
4.5","Marin City, CA",CA,102.9,"Marin City, CA",1 to 50 employees,2007,Health Care Services & Hospitals
1961,Senior Data Analyst,$126 ,"TaskRabbit
4.1","San Francisco, CA",CA,102.9,"San Francisco, CA",201 to 500 employees,2008,Internet
1962,Junior Data Analyst,$126 ,"Staffigo Technical Services, LLC
5.0","San Francisco, CA",CA,102.9,"Woodridge, IL",51 to 200 employees,2008,IT Services
1963,Business Data Analyst,$126 ,"Diverse Lynx
3.9","San Francisco, CA",CA,102.9,"Princeton, NJ",501 to 1000 employees,2002,IT Services
1964,"Sr. Data Analyst, Twitter Service Tech",$126 ,"Twitter
4.0","San Francisco, CA",CA,102.9,"San Francisco, CA",1001 to 5000 employees,2006,Internet
1965,Data Analyst,$126 ,"Ascent
4.6","Daly City, CA",CA,102.9,"Concord, CA",1001 to 5000 employees,2000,Staffing & Outsourcing
1966,Data Analyst,$126 ,"Thermo Fisher Scientific
3.4","South San Francisco, CA",CA,102.9,"Waltham, MA",10000+ employees,1902,Biotech & Pharmaceuticals
1967,Data Analyst,$126 ,"Net2Source
3.2","San Francisco, CA",CA,102.9,"Somerset, NJ",1001 to 5000 employees,2007,Staffing & Outsourcing
687,System and Data Analyst,$123 ,"Pacific Clinics
2.9","Arcadia, CA",CA,102.9,"Arcadia, CA",501 to 1000 employees,1926,Health Care Services & Hospitals
688,Service Operations Data Analyst,$123 ,"Quinn Group
5.0","City of Industry, CA",CA,102.9,"Taipei, Taiwan",51 to 200 employees,-1,-1
689,SAP Master Data Analyst,$123 ,DT Professional Services,"Los Angeles, CA",CA,102.9,"Canoga Park, CA",1 to 50 employees,2013,-1
690,Business Analyst Asset Data Management,$123 ,"NRC INC
4.0","Los Angeles, CA",CA,102.9,"Boca Raton, FL",51 to 200 employees,-1,-1
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),$123 ,"LaBine & Associates
5.0","Santa Monica, CA",CA,102.9,"San Mateo, CA",1 to 50 employees,2013,Staffing & Outsourcing
692,19-0574 - Service Operations Data Analyst,$123 ,"Quinn Company CAT
3.3","City of Industry, CA",CA,102.9,"City of Industry, CA",501 to 1000 employees,1919,Commercial Equipment Repair & Maintenance
693,Discovery Data Analyst,$123 ,"NTT DATA, Inc.
2.9","Burbank, CA",CA,102.9,"Singapore, Singapore",201 to 500 employees,-1,Accounting
694,"Analyst, Financial Master Data",$123 ,"WB Technology
5.0","Burbank, CA",CA,102.9,"Bishnupur , India",Unknown,-1,-1
695,Data Analyst-HEDIS & Star,$123 ,"SCAN Health Plan
3.2","Long Beach, CA",CA,102.9,"Long Beach, CA",501 to 1000 employees,1977,Insurance Carriers
696,Music Copyright Data Analyst,$123 ,"AppleOne
3.3","Woodland Hills, CA",CA,102.9,"Glendale, CA",1001 to 5000 employees,1964,Staffing & Outsourcing
697,Sr. Data Analyst,$123 ,"Login Consulting Services
3.8","El Segundo, CA",CA,102.9,"El Segundo, CA",51 to 200 employees,-1,Consulting
698,Sr. Data Analyst,$123 ,Shapestone Inc.,"Burbank, CA",CA,102.9,-1,-1,-1,-1
699,Sr. Data Governance Analyst,$123 ,"Lorven Technologies Inc
4.0","Arcadia, CA",CA,102.9,"Plainsboro, NJ",1 to 50 employees,-1,Accounting
700,"Data Analyst - Health, Senior",$123 ,"Blue Shield of California
4.1","Woodland Hills, CA",CA,102.9,"Oakland, CA",5001 to 10000 employees,1939,Insurance Carriers
701,Data Analyst-HEDIS & Star,$123 ,SCAN Healthplan,"Long Beach, CA",CA,102.9,-1,-1,-1,-1
702,Data Entry Clerk and Analyst - Financial,$123 ,"Information Technology Partners
2.8","Burbank, CA",CA,102.9,"Chicago, IL",51 to 200 employees,1991,IT Services
703,"Analyst, Financial Master Data",$123 ,"Warner Bros. Entertainment
3.9","Burbank, CA",CA,102.9,"Burbank, CA",5001 to 10000 employees,1923,Motion Picture Production & Distribution
704,Senior Clinical Data Analyst,$123 ,"Providence Health & Services
3.4","Gardena, CA",CA,102.9,"Renton, WA",10000+ employees,1855,Health Care Services & Hospitals
705,Sr. Data Analyst (Pharmacy),$123 ,"Molina Healthcare
3.1","Long Beach, CA",CA,102.9,"Long Beach, CA",10000+ employees,1980,Insurance Carriers
706,"Sr Analyst, Data",$123 ,"Molina Healthcare
3.1","Long Beach, CA",CA,102.9,"Long Beach, CA",10000+ employees,1980,Insurance Carriers
707,Systems and Data Analyst,$123 ,"To Help Everyone Health & Wellness Centers
2.4","Los Angeles, CA",CA,102.9,"Los Angeles, CA",201 to 500 employees,-1,-1
708,"Analyst, Financial Master Data",$123 ,"Turner Broadcasting
3.7","Burbank, CA",CA,102.9,"New York, NY",10000+ employees,2003,TV Broadcast & Cable Networks
709,Copyright Data Analyst,$123 ,"AppleOne
3.3","Woodland Hills, CA",CA,102.9,"Glendale, CA",1001 to 5000 employees,1964,Staffing & Outsourcing
710,LIMS Master Data Analyst,$123 ,"USDM Life Sciences
4.6","Santa Monica, CA",CA,102.9,"Santa Barbara, CA",201 to 500 employees,1999,Consulting
711,Data Analyst *Temp-Hire*,$123 ,"SkillsetGroup - Professional Staffing Solutions
2.9","Pico Rivera, CA",CA,102.9,"San Clemente, CA",1 to 50 employees,2013,Staffing & Outsourcing
712,"QM DATA ANALYST II, WHITTIER, FULL TIME DAYS",$123 ,"PIH Health
3.6","Whittier, CA",CA,102.9,"Whittier, CA",5001 to 10000 employees,1959,Health Care Services & Hospitals
713,Radar Telemetry Data Analyst - RT,$123 ,KLM Careers,"Anaheim, CA",CA,102.9,-1,-1,-1,-1
714,Sr. Data Analyst — US Safety,$123 ,"TikTok
3.8","Los Angeles, CA",CA,102.9,"Los Angeles, CA",1001 to 5000 employees,2016,Internet
715,Data Analyst - Marketing Analytics,$123 ,"Mercury Insurance Group
3.4","Brea, CA",CA,102.9,"Los Angeles, CA",1001 to 5000 employees,1961,Insurance Carriers
1497,Data Analyst,$120 ,"Adwait Algorithm
4.4","Santa Clara, CA",CA,102.9,"Houston, TX",51 to 200 employees,2015,IT Services
1498,Senior Data Analyst - Studio Finance Engineering,$120 ,"Netflix, Inc.
3.9","Los Gatos, CA",CA,102.9,"Los Gatos, CA",1001 to 5000 employees,1997,Internet
1499,Data Analyst,$120 ,"TechNet Inc.
5.0","San Jose, CA",CA,102.9,"Alpharetta, GA",1 to 50 employees,-1,Staffing & Outsourcing
1500,"Apple Media Products (AMP) - Big Data Analyst, Analytics Engineering",$120 ,"Apple
4.1","Santa Clara, CA",CA,102.9,"Cupertino, CA",10000+ employees,1976,Computer Hardware & Software
1501,Data Analyst,$120 ,"PDS Tech, Inc.
3.8","Cupertino, CA",CA,102.9,"Irving, TX",5001 to 10000 employees,1977,Staffing & Outsourcing
1502,Data Analyst,$120 ,"Power Integrations
3.8","San Jose, CA",CA,102.9,"San Jose, CA",501 to 1000 employees,1988,Electrical & Electronic Manufacturing
1503,Business Data Analyst,$120 ,"Infotree Service Inc
3.7","San Jose, CA",CA,102.9,"Canton, MI",51 to 200 employees,2004,Advertising & Marketing
1504,Data Analyst,$120 ,"Accounting Principals
4.0","San Jose, CA",CA,102.9,"Jacksonville, FL",501 to 1000 employees,1994,Staffing & Outsourcing
1505,Data Analyst,$120 ,"Collabera
4.1","Sunnyvale, CA",CA,102.9,"Basking Ridge, NJ",10000+ employees,1991,IT Services
1506,Data Analyst,$120 ,"Lorven Technologies Inc
4.0","San Jose, CA",CA,102.9,"Plainsboro, NJ",1 to 50 employees,-1,Accounting
1507,Data Analyst II,$120 ,"Crystal Equation
3.9","Menlo Park, CA",CA,102.9,"Chicago, IL",51 to 200 employees,2006,IT Services
1508,Data Analyst,$120 ,"Frontend Arts
4.5","San Jose, CA",CA,102.9,"Irving, TX",1 to 50 employees,2013,Enterprise Software & Network Solutions
1509,Data Analyst,$120 ,"Wider Circle
2.4","Redwood City, CA",CA,102.9,"Redwood City, CA",1 to 50 employees,2015,"Health, Beauty, & Fitness"
1510,Finance & Accounting Data Analyst,$120 ,"Poshmark
4.8","Redwood City, CA",CA,102.9,"Redwood City, CA",201 to 500 employees,2011,Internet
1511,Data Analyst,$120 ,"Artech LLC
3.9","Sunnyvale, CA",CA,102.9,"Morristown, NJ",5001 to 10000 employees,1992,Staffing & Outsourcing
1512,Business Data Analyst,$120 ,"BayOne Solutions
4.1","San Jose, CA",CA,102.9,"Pleasanton, CA",1001 to 5000 employees,-1,IT Services
1513,Data Analyst,$120 ,"Zolon Tech Solutions Inc.
4.0","Cupertino, CA",CA,102.9,"Herndon, VA",201 to 500 employees,1998,IT Services
1514,Junior Data Analyst,$120 ,"Staffigo Technical Services, LLC
5.0","San Jose, CA",CA,102.9,"Woodridge, IL",51 to 200 employees,2008,IT Services
1515,Data analyst,$120 ,EApps Tech LLC,"Sunnyvale, CA",CA,102.9,-1,-1,-1,-1
1516,Data Analyst,$120 ,enexusglobal,"San Jose, CA",CA,102.9,-1,-1,-1,-1
1517,Financial Data Analyst,$120 ,"Apple
4.1","Santa Clara, CA",CA,102.9,"Cupertino, CA",10000+ employees,1976,Computer Hardware & Software
1518,Sr. Data Scientist/Analyst,$120 ,"Apple
4.1","Santa Clara, CA",CA,102.9,"Cupertino, CA",10000+ employees,1976,Computer Hardware & Software
1519,Data Quality Analyst,$120 ,"Lodestone
4.5","Menlo Park, CA",CA,102.9,"Pleasanton, CA",201 to 500 employees,2007,Internet
1520,Data Analyst Intern,$120 ,"SAP
4.6","Palo Alto, CA",CA,102.9,"Walldorf, Germany",10000+ employees,1972,Computer Hardware & Software
1521,Data Analyst I (German),$120 ,"Calsoft Labs
3.2","Cupertino, CA",CA,102.9,"Bengaluru, India",1001 to 5000 employees,1992,IT Services
1522,Data Analyst,$120 ,"Staffigo Technical Services, LLC
5.0","San Jose, CA",CA,102.9,"Woodridge, IL",51 to 200 employees,2008,IT Services
1523,Data Analyst,$120 ,"IntelliPro Group Inc.
4.1","San Jose, CA",CA,102.9,"Santa Clara, CA",201 to 500 employees,-1,-1
1524,Biomedical Data Analyst I - Temporary,$120 ,"Exact Sciences Corporation
4.0","Redwood City, CA",CA,102.9,"Madison, WI",1001 to 5000 employees,1995,Health Care Services & Hospitals
838,Data Analyst (Supply Chain) - May Reside Anywhere in the US - Up to 100% Travel,$113 ,"Maine Pointe
4.5","Chicago, IL",IL,83.5,"Boston, MA",51 to 200 employees,2004,Consulting
839,SAS Data Analyst/Reports Writer,$113 ,"Synchronous Solutions, Inc","Chicago, IL",IL,83.5,"Encinitas, CA",1 to 50 employees,-1,IT Services
840,Data Scientist - Sr. Analyst,$113 ,"HR Pundits
2.0","Chicago, IL",IL,83.5,"Rolling Meadows, IL",1 to 50 employees,-1,Computer Hardware & Software
841,Clinical Practice Data Analyst Specialist (Clinical Research Data Manager) - Mile Square Main,$113 ,University of Illinois Medical Center,"Chicago, IL",IL,83.5,-1,-1,-1,-1
842,QA Analyst - DATA Base Exp,$113 ,"Softpath System LLC
3.9","Chicago, IL",IL,83.5,"Norcross, GA",201 to 500 employees,1999,IT Services
843,Philanthropy Operations Associate - Data Analyst,$113 ,"Trinity Health
3.3","Maywood, IL",IL,83.5,"Livonia, MI",10000+ employees,1976,Health Care Services & Hospitals
844,Financial Systems Lead Data and Reporting Analyst,$113 ,"Motorola Solutions
3.7","Chicago, IL",IL,83.5,"Chicago, IL",10000+ employees,1928,Computer Hardware & Software
845,Data Entry and compliance Analyst,$113 ,"Medline Industries
3.4","Northfield, IL",IL,83.5,"Northfield, IL",10000+ employees,1966,Health Care Products Manufacturing
846,Lead Data Analyst,$113 ,"Capgemini
3.8","Chicago, IL",IL,83.5,"Paris, France",10000+ employees,1967,Enterprise Software & Network Solutions
847,Senior Data Analyst Informatics,$113 ,"Tempus Labs
3.2","Chicago, IL",IL,83.5,"Chicago, IL",501 to 1000 employees,2015,Biotech & Pharmaceuticals
848,"ERP Data Migration Analyst in Glenview, IL at Signode",$113 ,"Signode
3.2","Glenview, IL",IL,83.5,"Glenview, IL",5001 to 10000 employees,1913,Industrial Manufacturing
849,Data Security Analytics Analyst,$113 ,"Cedent Consulting
3.3","Chicago, IL",IL,83.5,"Frisco, TX",1 to 50 employees,-1,Consulting
850,Clinical Practice Data Analyst Specialist (Clinical Research Data Manager) Mile Square Main (Job ID,$113 ,"UI Health
1.7","Chicago, IL",IL,83.5,"Iowa City, IA",5001 to 10000 employees,-1,Health Care Services & Hospitals
851,Data Analyst IV,$113 ,"Robert Half
3.5","Chicago, IL",IL,83.5,"Menlo Park, CA",10000+ employees,1948,Staffing & Outsourcing
852,"Sr. Data Analyst - Analytics, Marketing, CPG",$113 ,"Jobot
5.0","Chicago, IL",IL,83.5,"Irvine, CA",51 to 200 employees,2018,Staffing & Outsourcing
853,SAP Data Management Analyst,$113 ,"Square One Resources
4.3","Chicago, IL",IL,83.5,"London, United Kingdom",51 to 200 employees,1995,Staffing & Outsourcing
854,Senior Marketing Data Analyst (Real Estate),$113 ,"Esquire Recruiting
4.6","Chicago, IL",IL,83.5,"Lincolnshire, IL",1 to 50 employees,2012,Staffing & Outsourcing
855,Logistics Data Analyst II,$113 ,Source Alliance Network LLC,"Chicago, IL",IL,83.5,"Chicago, IL",1 to 50 employees,2010,Transportation Management
856,"Senior Analyst, Data Analytics",$113 ,"Walgreens
3.0","Deerfield, IL",IL,83.5,"Deerfield, IL",10000+ employees,1901,Drug & Health Stores
857,Senior Data Analyst - Informatics,$113 ,"Tempus
3.3","Chicago, IL",IL,83.5,"Washington, DC",51 to 200 employees,1999,Financial Transaction Processing
858,Data Quality Analyst-Product Content Specialist,$113 ,"Steiner Electric Co
3.0","Elk Grove Village, IL",IL,83.5,"Elk Grove Village, IL",201 to 500 employees,1916,Wholesale
859,Technical Web Data Collection Analyst,$113 ,Hotel Compete,"Chicago, IL",IL,83.5,-1,-1,-1,-1
860,Sr. Sales Operations & Data Analyst,$113 ,"Xeris Pharmaceuticals, Inc.
5.0","Chicago, IL",IL,83.5,"Chicago, IL",51 to 200 employees,-1,Biotech & Pharmaceuticals
861,Sales Data Analyst,$113 ,"Sahara Management Inc.
4.0","Rolling Meadows, IL",IL,83.5,"Seattle, WA",1 to 50 employees,-1,-1
862,Lead Data Analyst,$113 ,"IlliniCare Health Plan
2.2","Chicago, IL",IL,83.5,"Saint Louis, MO",1001 to 5000 employees,-1,-1
863,Senior Healthcare Data Analyst,$113 ,Medical Home Network,"Chicago, IL",IL,83.5,"Chicago, IL",Unknown,-1,-1
864,Senior data analyst,$113 ,"TechUSA
2.7","Chicago, IL",IL,83.5,"Millersville, MD",1001 to 5000 employees,1998,Staffing & Outsourcing
865,Data Analyst (MPI),$113 ,"Metropolitan Family Services
3.2","Chicago, IL",IL,83.5,"Chicago, IL",201 to 500 employees,1857,Membership Organizations
866,"Senior Data Analyst, Sales",$113 ,"Flexport
3.5","Chicago, IL",IL,83.5,"San Francisco, CA",1001 to 5000 employees,2013,Logistics & Supply Chain
867,Sr. BI Data Analyst / QlikSense,$113 ,Kbyte Systems LLC.,"Chicago, IL",IL,83.5,-1,-1,-1,-1
369,Senior Financial Analyst - Enterprise Data,$106 ,"Geller & Company
3.2","New York, NY",NY,100.1,"New York, NY",501 to 1000 employees,1984,Investment Banking & Asset Management
370,Data Analyst with Data Lineage/Rochade,$106 ,"Reliable Software Resources
4.0","Florham Park, NJ",NJ,102,"Northville, MI",501 to 1000 employees,2004,IT Services
371,Senior Market Data Content Acquisition/Procurement Analyst,$106 ,"Intercontinental Exchange, Inc.
2.8","New York, NY",NY,100.1,"Atlanta, GA",1001 to 5000 employees,2000,Investment Banking & Asset Management
372,Sr. Specialist Reporting Data Analyst /Engineer - Cloud,$106 ,"The Bank of New York Mellon
3.2","Florham Park, NJ",NJ,102,"New York, NY",10000+ employees,1784,Investment Banking & Asset Management
373,"Senior Business Analyst, Data Management",$106 ,"Plymouth Rock Assurance
3.4","Woodbridge, NJ",NJ,102,"Boston, MA",1001 to 5000 employees,1982,Insurance Carriers
374,Data Science Analyst II - Mount Sinai Health Partners,$106 ,"Mount Sinai Health System
3.4","New York, NY",NY,100.1,"New York, NY",10000+ employees,2013,Health Care Services & Hospitals
